"feature","mean_before","mean_after","diff","pct_change","expected"
"f_42_adverbs",8.86051808793904,15.8428403077674,6.9823222198284,78.8026405513776,TRUE
"f_17_agentless_passives",14.1552092597127,10.5811745896876,-3.57403467002513,-25.2489002772797,TRUE
"f_08_third_person_pronouns",3.54546882707532,6.38129107729246,2.83582225021714,79.9844079451808,TRUE
"f_11_indefinite_pronouns",4.0459219908706,1.59500903112273,-2.45091295974788,-60.5773656852066,TRUE
"f_39_prepositions",151.030686522114,149.400069507119,-1.6306170149947,-1.07965940733239,TRUE
"f_64_phrasal_coordination",15.9282959939042,17.5442063463157,1.61591035241152,10.144904094135,TRUE
"f_31_wh_subj",0,1.10262154966443,1.10262154966443,Inf,TRUE
"f_29_that_subj",4.84730559734518,3.74470194288695,-1.10260365445823,-22.7467328460188,TRUE
"f_01_past_tense",15.9046561248366,16.7535227505478,0.848866625711176,5.33722086820594,TRUE
"f_15_gerunds",0,0.546461592160438,0.546461592160438,Inf,TRUE
"f_24_infinitives",9.48029040564112,8.93387509910277,-0.54641530653835,-5.76369797926457,FALSE
"f_30_that_obj",1.18614625569713,0.794779494369684,-0.391366761327445,-32.9948148845632,TRUE
"f_67_neg_analytic",1.61521310098008,1.98914996806476,0.373936867084681,23.1509307878808,TRUE
"f_58_verb_seem",0.253341838969421,0.0606674943298486,-0.192674344639572,-76.0531088837753,TRUE
"f_18_by_passives",1.01318859204014,0.857456118332285,-0.155732473707851,-15.3705316987701,FALSE
"f_06_first_person_pronouns",0.126428734073933,0.230691117831834,0.104262383757901,82.4673160904465,TRUE
"f_63_split_auxiliary",0.146633235264877,0.214262897584124,0.0676296623192473,46.1216464310303,TRUE
"f_46_downtoners",0.806753517608848,0.754721989114408,-0.0520315284944398,-6.44949508849457,TRUE
"f_37_if",0.229728729899194,0.254520280303911,0.0247915504047168,10.7916630260375,TRUE
"f_32_wh_obj",0,0.00895465349901455,0.00895465349901455,Inf,TRUE
"f_04_place_adverbials",0.910070340420092,0.911939521825675,0.00186918140558268,0.205388674101812,TRUE
"f_38_other_adv_sub",6.89322193146678,6.89220149816003,-0.00102043330675183,-0.01480343033921,TRUE
"f_16_other_nouns",194.663787754505,194.664493105113,0.000705350608114941,0.000362342999821042,FALSE
"f_14_nominalizations",58.3084831684733,58.3087140775972,0.000230909123935419,0.000396012915081744,FALSE
"f_40_adj_attr",54.2413419056758,54.2415433118516,0.000201406175769137,0.000371314883985312,FALSE
"f_03_present_tense",23.7490740714516,23.7492208463774,0.00014677492584525,0.000618023782332155,FALSE
"f_19_be_main_verb",7.58096968868664,7.58100074205121,3.10533645757616e-05,0.000409622592504276,FALSE
"f_55_verb_public",6.38333293045548,6.38336211553727,2.91850817975003e-05,0.00045720757659773,FALSE
"f_26_past_participle",9.60999979596253,9.61002673769613,2.69417335978517e-05,0.000280351031944566,FALSE
"f_56_verb_private",4.70790637975106,4.70793274295098,2.63631999253278e-05,0.000559977149051162,FALSE
"f_45_conjuncts",5.22467616430134,5.22469591982255,1.97555212100298e-05,0.000378119534852962,FALSE
"f_51_demonstratives",3.95788126549801,3.95790079691921,1.95314212017017e-05,0.000493481736603944,FALSE
"f_27_past_participle_whiz",7.68155524713282,7.68157404905493,1.88019221178948e-05,0.000244767127397967,FALSE
"f_05_time_adverbials",2.16268630887435,2.16269926121637,1.29523420140387e-05,0.000598900633942619,TRUE
"f_21_that_verb_comp",3.04777295429858,3.04778558877423,1.26344756496977e-05,0.000414547797331097,FALSE
"f_57_verb_suasive",1.59530168414952,1.5953116453606,9.96121108154391e-06,0.000624409237482525,FALSE
"f_41_adj_pred",3.42676225708644,3.42677202279704,9.76571060062881e-06,0.00028498360457991,FALSE
"f_25_present_participle",1.84981474800715,1.84982243961861,7.69161146196851e-06,0.000415804418807606,FALSE
"f_52_modal_possibility",1.36417694780568,1.3641841626176,7.21481191545692e-06,0.000528876545455643,TRUE
"f_54_modal_predictive",0.919769159955612,0.919775197068426,6.03711281355057e-06,0.000656372606996512,FALSE
"f_33_pied_piping",1.27161613649531,1.27162160304223,5.46654691202519e-06,0.000429889709255458,FALSE
"f_02_perfect_aspect",1.52363946338282,1.5236447527129,5.28933008037136e-06,0.000347151029327362,FALSE
"f_65_clausal_coordination",1.56864439206541,1.56864877467957,4.38261416491059e-06,0.000279388635632075,FALSE
"f_47_hedges",0.689526206715679,0.689529711213457,3.50449777786199e-06,0.000508247220153453,TRUE
